tweet,class
complain cleaning house always take trash,2
boy dats coldtyga dwn bad cuffin dat hoe st place,1
dawg ever fuck bitch sta cry confused shit,1
look like tranny,1
shit hear might true might faker bitch told ya,1
shit blows meclaim faithful somebody still fucking hoes,1
sit hate another bitch got much shit going,1
cause tired big bitches coming us skinny girls,1
might get ya bitch back,1
hobbies include fighting mariambitch,1
keeks bitch curves everyone lol walked conversation like smh,1
murda gang bitch gang land,1
hoes smoke losers yea go ig,1
bad bitches thing like,1
bitch get,1
bitch nigga miss,1
bitch plz whatever,1
bitch love,1
bitches get cut everyday b,1
black bottle bad bitch,1
broke bitch cant tell nothing,1
cancel bitch like nino,1
cant see hoes wont change,1
fuck bitch even suck dick kermit videos bout fuck ig,1
got ya bitch tip toeing hardwood floors httptcocouwqlq,1
pussy lips like heaven doors,1
hoe hitting,1
met pussy ocean dr gave pussy pill,1
need trippy bitch fuck hennessy,1
spend money want bitch business,1
txt old bitch new bitch pussy wetter,1
id say back old old bitches would get excited,1
aint bout murder game pussy nigga shut,1
youre toes aint done pussy stinks,1
done bitter bitches wrap angry bird app,1
ya bitch,1
aint nothing cut bitch,1
jus meet son ya mane ass bitches,1
lames crying hoes tears clown,1
like snoop said love hoes,1
momma said pussy cats inside doghouse,2
hated hoes favorite httptcobmdsvmcrc,1
nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick httptcobzrdlkfu,1
pimps pimps hoes future voice,1
post picture pussy get likes,1
pussy powerful drug httptcorjsymibb,1
quick piece pussy call drive,1
running round like brand new pussy bout get fucked,1
bitches even worst theyll send guys,1
hoes like niggas spend money talk bout,1
trust niggas bitches,1
yall niggas b cuffing hoes cause yall aint never bitches,1
dodge bullet da bitches cut pregnant bound thank god,1
young pill chamberlain bitches love music,1
teanna trump probably cleaner twitter hoes,1
gay niggas couldnt wait act like bitches tonight,1
ima steal cat n replace pitbull bitch,1
hes gone always hoe,1
son bitch took tic tacsi like movie,1
wanna get money fuck model bitches russell simmons,1
probably wouldnt mind school much didnt deal bitch ass teachers retweet,1
fucking fag said,1
females think dating pussy cute httptcovxbjggsz stuff make pussy,1
simplyaddictedtoguys httptcojlhizmf woof woof hot scally lad,2
ya ever asked bitch bitches kanye voice yes,1
u gone bring ur side bitch game know ya gf friends swear,1
httptcogzupfumev woof woof hot soles,2
lemmie eat oreo dishes one oreo lol,2
bitch fuck u httptcopxmganc maybe youll get better httptcotprevwfqs,1
fuck red malone bitch ass niggah could please use complete sentences,1
eggplant emoji doey say looked like scream lmao,2
hennessey venom gt httptcoiegmnkaj one sexy bitch,1
seh pussy wetter shower cuainltlmao,1
every need see pic posted bitch said racist shit,1
yo fuck skateboarding yall wood pushing faggots ball life httptcovbczphmt,1
baby monkey bathtime httptcokpwadlfrawwwwe soooo adorable,2
aint shit damn skippy lol,1
u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance,1
httptcoluubglyu rings mvps bitches lol,1
ppl talk bad ghettohood kid growing nigga funnnnnnn,1
facts tattoostattoo httptcozwnbhpdze hes pussy tattooing nipples,1
bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches,1
get worshiping bitch httptcorcejcjou woof woof,1
wow lost buttcheek piercings httptcoynguyouq yeah shes hoe,1
ok sis shed rather broke bitch shrugs shell tell works,1
queer gaywad,0
faggot read tweets dat k wasnt even funny lol,1
bitch ungrateful httptcoebgwbx fr lulwhore,1
kidnapped yo bitch,1
alsarabsss hes beaner smh tell hes mexican,0
happy bihday nigs thanks yo,1
ur teacher tells u u homework httpstcorkkvawij bitch need go,1
